desokod,befolkning_2024,befolkning_65_plus_2024,andel_65_plus_2024,kommunkod,area_km2,befolkning_per_km2_2024,antal_servicenoder
2061A0030,950,266,0.28,2061,235.729,4.03,0
2061B2010,1096,385,0.3512773722627737,2061,16.722,65.541,2
2061C1010,1494,388,0.2597054886211513,2061,7.289,204.954,5
2061C1020,1383,446,0.3224873463485177,2061,1.262,1095.674,0
2061C1030,1098,335,0.30510018214936246,2061,3.472,316.248,0
2061C1040,1608,533,0.3314676616915423,2061,16.534,97.252,0
2062A0010,1694,584,0.3447461629279811,2062,500.63,3.384,2
2062A0020,972,297,0.3055555555555556,2062,281.385,3.454,0
2062A0030,1951,674,0.345463864684777,2062,2239.885,0.871,1
2062B2010,1305,349,0.2674329501915709,2062,16.242,80.346,1
2062C1010,1763,529,0.30005672149744755,2062,26.768,65.861,0
2062C1020,2187,545,0.24919981710105166,2062,14.879,146.986,1
2062C1030,1628,517,0.31756756756756754,2062,6.915,235.434,0
2062C1040,1256,331,0.2635350318471338,2062,3.446,364.489,3
2062C1050,2199,685,0.31150522964984084,2062,3.019,728.346,9
2062C1060,1576,412,0.2614213197969543,2062,8.996,175.188,0
2062C1070,1675,360,0.21492537313432836,2062,4.836,346.391,0
2062C1080,2334,618,0.2647814910025707,2062,18.992,122.892,1
2080A0010,1834,416,0.2268266085059978,2080,138.826,13.211,1
2080A0020,2168,476,0.21955719557195572,2080,220.854,9.816,0
2080A0030,1797,464,0.2582081246521981,2080,118.205,15.202,2
2080A0040,1341,367,0.27367636092468306,2080,402.395,3.333,0
2080A0050,1563,428,0.27383237364043506,2080,145.496,10.743,1
2080A0060,1096,328,0.29927007299270075,2080,1054.121,1.04,0
2080B2010,1090,283,0.25963302752293577,2080,8.653,125.962,2
2080B2020,952,291,0.30567226890756305,2080,9.225,103.202,0
2080B3010,2020,603,0.2985148514851485,2080,22.377,90.27,3
2080B4010,1891,536,0.2834479111581174,2080,38.224,49.472,3
2080B5010,1907,480,0.2517042475091767,2080,13.316,143.213,1
2080C1010,1387,244,0.17591925018024512,2080,5.455,254.252,0
2080C1020,1478,343,0.23207036535859268,2080,5.745,257.255,1
2080C1030,2908,273,0.09387895460797799,2080,2.023,1437.137,1
2080C1040,2552,668,0.2617554858934169,2080,2.917,874.751,2
2080C1050,1275,256,0.2007843137254902,2080,5.688,224.154,2
2080C1060,2071,493,0.2380492515692902,2080,1.223,1693.952,1
2080C1070,1789,375,0.20961430967020683,2080,5.496,325.493,0
2080C1080,1778,367,0.2064116985376828,2080,1.536,1157.662,1
2080C1090,1607,390,0.24268823895457373,2080,0.984,1633.424,1
2080C1100,1658,334,0.2014475271411339,2080,4.336,382.354,0
2080C1110,1588,340,0.2141057934508816,2080,0.666,2383.502,0
2080C1120,1608,440,0.2736318407960199,2080,7.641,210.434,1
2080C1130,1655,539,0.3256797583081571,2080,0.481,3443.422,3
2080C1140,1369,458,0.3345507669831994,2080,1.303,1050.301,4
2080C1150,1079,289,0.267840593141798,2080,0.306,3528.014,3
2080C1160,1149,324,0.2819843342036554,2080,0.22,5213.278,1
2080C1170,1180,303,0.25677966101694916,2080,0.233,5067.666,0
2080C1180,1454,365,0.25103163686382396,2080,0.367,3958.119,0
2080C1190,1622,490,0.30209617755856966,2080,0.535,3031.586,0
2080C1200,1450,339,0.23379310344827586,2080,3.439,421.644,0
2080C1210,1739,401,0.23059229442208165,2080,0.547,3176.852,2
2080C1220,1390,324,0.23309352517985613,2080,6.293,220.895,0
2080C1230,1178,230,0.19524617996604415,2080,0.398,2961.226,1
2080C1240,1888,257,0.1361228813559322,2080,0.405,4659.147,0
2080C1250,1011,247,0.2443125618199802,2080,13.668,73.969,0
2080C1260,2423,462,0.19067271976888156,2080,12.939,187.264,2
2081A0010,752,215,0.2859042553191489,2081,34.216,21.978,0
2081A0020,2477,677,0.2733144933387162,2081,415.816,5.957,1
2081A0030,2131,493,0.2313467855466917,2081,83.853,25.414,0
2081B2010,1095,263,0.2401826484018265,2081,6.918,158.285,1
2081C1010,1821,490,0.26908292147171886,2081,16.106,113.064,1
2081C1020,1547,332,0.21460892049127342,2081,3.401,454.846,1
2081C1030,2109,495,0.23470839260312945,2081,4.797,439.694,1
2081C1040,1967,346,0.1759023894255211,2081,2.885,681.901,1
2081C1050,1840,557,0.3027173913043478,2081,2.826,651.008,4
2081C1060,2079,424,0.20394420394420396,2081,10.668,194.883,2
2081C1070,2046,336,0.16422287390029325,2081,0.777,2633.538,3
2081C1080,2350,441,0.1876595744680851,2081,1.578,1488.926,4
2081C1090,1928,345,0.17894190871369295,2081,1.349,1429.477,2
2081C1100,2052,476,0.23196881091617932,2081,0.893,2298.443,7
2081C1110,1839,485,0.26373028820010874,2081,10.525,174.726,1
2081C1120,1804,331,0.1834811529933481,2081,1.026,1757.899,1
2081C1130,1573,518,0.3293070565797839,2081,0.499,3153.232,1
2081C1140,2459,237,0.09638064253761691,2081,0.331,7427.186,1
2081C1150,1941,268,0.13807315816589386,2081,0.706,2748.231,3
2081C1160,1619,506,0.3125386040765905,2081,2.125,762.033,1
2081C1170,2293,343,0.14958569559529,2081,2.661,861.553,0
2081C1180,2276,378,0.16608084358523725,2081,0.605,3761.986,3
2081C1190,1767,389,0.22014714204867006,2081,1.071,1649.677,1
2081C1200,1816,432,0.23788546255506607,2081,1.287,1411.173,1
2081C1210,2386,370,0.1550712489522213,2081,4.449,536.265,1
2081C1220,1779,453,0.25463743676222594,2081,17.176,103.573,0
2081C1230,1679,423,0.2519356759976176,2081,3.494,480.565,1
2082A0010,1303,413,0.31696085955487335,2082,348.18,3.742,0
2082A0020,903,218,0.24141749723145073,2082,41.518,21.75,0
2082A0030,2235,625,0.2796420581655481,2082,218.145,10.245,1
2082B2010,868,172,0.19815668202764977,2082,4.852,178.904,0
2082B2020,1104,302,0.27355072463768115,2082,7.715,143.093,1
2082C1010,1816,575,0.31662995594713655,2082,0.79,2298.411,3
2082C1020,1322,355,0.26853252647503784,2082,7.51,176.027,0
2082C1030,1672,462,0.27631578947368424,2082,5.934,281.777,1
2083A0010,1067,280,0.2624179943767573,2083,162.333,6.573,0
2083A0020,1106,317,0.28661844484629295,2083,86.391,12.802,0
2083A0030,940,251,0.2670212765957447,2083,142.845,6.581,1
2083A0040,1371,282,0.20568927789934355,2083,101.381,13.523,0
2083A0050,1621,488,0.30104873534855026,2083,413.197,3.923,2
2083B2010,1498,527,0.35180240320427236,2083,9.796,152.918,2
2083C1010,2021,413,0.20435428005937656,2083,5.031,401.67,0
2083C1020,2052,642,0.3128654970760234,2083,4.298,477.377,2
2083C1030,1857,529,0.28486806677436727,2083,3.789,490.15,0
2083C1040,1748,527,0.301487414187643,2083,4.345,402.341,3
2084A0010,1386,405,0.2922077922077922,2084,123.917,11.185,0
2084A0020,1978,598,0.3023255813953488,2084,162.805,12.15,1
2084A0030,1262,418,0.3312202852614897,2084,324.516,3.889,0
2084B2010,1081,371,0.34320074005550416,2084,11.046,97.868,1
2084C1010,1199,255,0.21267723102585487,2084,5.753,208.416,0
2084C1020,1245,332,0.26666666666666666,2084,2.091,595.367,1
2084C1030,2064,480,0.23255813953488372,2084,13.635,151.375,1
2084C1040,2010,541,0.2691542288557214,2084,4.297,467.821,2
2084C1050,2195,684,0.31161731207289295,2084,0.587,3740.938,0
2084C1060,2324,672,0.2891566265060241,2084,3.855,602.842,7
2084C1070,1809,356,0.19679380873410723,2084,4.571,395.789,1
2084C1080,1392,330,0.23706896551724138,2084,4.483,310.479,0
2084C1090,2472,686,0.27750809061488674,2084,10.716,230.687,1
2085A0010,1222,329,0.2692307692307692,2085,102.927,11.873,0
2085A0020,696,254,0.3649425287356322,2085,603.23,1.154,2
2085A0030,1129,339,0.30026572187776795,2085,552.439,2.044,0
2085A0040,2290,628,0.274235807860262,2085,312.057,7.338,0
2085B2010,1536,412,0.2682291666666667,2085,7.583,202.567,3
2085B2020,1054,195,0.18500948766603414,2085,7.049,149.522,0
2085B2030,816,243,0.2977941176470588,2085,4.53,180.122,0
2085B3010,799,296,0.3704630788485607,2085,15.535,51.432,1
2085B3020,1189,365,0.3069806560134567,2085,15.721,75.633,1
2085C1010,1695,441,0.26017699115044246,2085,10.299,164.582,3
2085C1020,1888,416,0.22033898305084745,2085,7.317,258.032,0
2085C1030,2051,400,0.19502681618722575,2085,1.657,1237.899,2
2085C1040,1624,252,0.15517241379310345,2085,0.916,1772.795,0
2085C1050,1412,236,0.1671388101983003,2085,2.026,696.967,1
2085C1060,1767,536,0.30333899264289754,2085,0.508,3475.075,1
2085C1070,1131,395,0.34924845269672855,2085,0.563,2008.574,1
2085C1080,1984,341,0.171875,2085,5.443,364.514,2
2085C1090,2351,570,0.24245002126754572,2085,6.578,357.401,2
