"Region","Alder","Kon","000007Y7 2024"
"2034C1010_DeSO2025","80-","1+2",97
"2034C1020_DeSO2025","totalt","1+2",1670
"2034C1020_DeSO2025","65-69","1+2",114
"2034C1020_DeSO2025","70-74","1+2",103
"2034C1020_DeSO2025","75-79","1+2",101
"2034C1020_DeSO2025","80-","1+2",191
"2034C1030_DeSO2025","totalt","1+2",1776
"2034C1030_DeSO2025","65-69","1+2",107
"2034C1030_DeSO2025","70-74","1+2",108
"2034C1030_DeSO2025","75-79","1+2",101
"2034C1030_DeSO2025","80-","1+2",150
"2034C1040_DeSO2025","totalt","1+2",804
"2034C1040_DeSO2025","65-69","1+2",61
"2034C1040_DeSO2025","70-74","1+2",54
"2034C1040_DeSO2025","75-79","1+2",46
"2034C1040_DeSO2025","80-","1+2",49
"2039A0010_DeSO2025","totalt","1+2",1895
"2039A0010_DeSO2025","65-69","1+2",139
"2039A0010_DeSO2025","70-74","1+2",152
"2039A0010_DeSO2025","75-79","1+2",143
"2039A0010_DeSO2025","80-","1+2",197
"2039A0020_DeSO2025","totalt","1+2",905
"2039A0020_DeSO2025","65-69","1+2",77
"2039A0020_DeSO2025","70-74","1+2",61
"2039A0020_DeSO2025","75-79","1+2",72
"2039A0020_DeSO2025","80-","1+2",100
"2039A0030_DeSO2025","totalt","1+2",1142
"2039A0030_DeSO2025","65-69","1+2",88
"2039A0030_DeSO2025","70-74","1+2",75
"2039A0030_DeSO2025","75-79","1+2",72
"2039A0030_DeSO2025","80-","1+2",93
"2039C1010_DeSO2025","totalt","1+2",2243
"2039C1010_DeSO2025","65-69","1+2",145
"2039C1010_DeSO2025","70-74","1+2",133
"2039C1010_DeSO2025","75-79","1+2",138
"2039C1010_DeSO2025","80-","1+2",185
"2039C1020_DeSO2025","totalt","1+2",697
"2039C1020_DeSO2025","65-69","1+2",35
"2039C1020_DeSO2025","70-74","1+2",41
"2039C1020_DeSO2025","75-79","1+2",56
"2039C1020_DeSO2025","80-","1+2",57
"2061A0010_DeSO2025","totalt","1+2",1612
"2061A0010_DeSO2025","65-69","1+2",131
"2061A0010_DeSO2025","70-74","1+2",140
"2061A0010_DeSO2025","75-79","1+2",108
"2061A0010_DeSO2025","80-","1+2",101
"2061A0020_DeSO2025","totalt","1+2",1582
"2061A0020_DeSO2025","65-69","1+2",114
"2061A0020_DeSO2025","70-74","1+2",116
"2061A0020_DeSO2025","75-79","1+2",112
"2061A0020_DeSO2025","80-","1+2",81
"2061A0030_DeSO2025","totalt","1+2",950
"2061A0030_DeSO2025","65-69","1+2",80
"2061A0030_DeSO2025","70-74","1+2",92
"2061A0030_DeSO2025","75-79","1+2",59
"2061A0030_DeSO2025","80-","1+2",35
"2061B2010_DeSO2025","totalt","1+2",1096
"2061B2010_DeSO2025","65-69","1+2",80
"2061B2010_DeSO2025","70-74","1+2",82
"2061B2010_DeSO2025","75-79","1+2",88
"2061B2010_DeSO2025","80-","1+2",135
"2061C1010_DeSO2025","totalt","1+2",1494
"2061C1010_DeSO2025","65-69","1+2",93
"2061C1010_DeSO2025","70-74","1+2",86
"2061C1010_DeSO2025","75-79","1+2",90
"2061C1010_DeSO2025","80-","1+2",119
"2061C1020_DeSO2025","totalt","1+2",1383
"2061C1020_DeSO2025","65-69","1+2",87
"2061C1020_DeSO2025","70-74","1+2",53
"2061C1020_DeSO2025","75-79","1+2",110
"2061C1020_DeSO2025","80-","1+2",196
"2061C1030_DeSO2025","totalt","1+2",1098
"2061C1030_DeSO2025","65-69","1+2",88
"2061C1030_DeSO2025","70-74","1+2",82
